DeviceName,UserPrincipalName,OperatingSystem,OSVersion,ComplianceState,LastCheckIn,Manufacturer,Model
MACBOOK-1000,user16@company.com,Android,14,compliant,2026-01-29,Samsung,Galaxy Tab S8
LAPTOP-1001,user6@company.com,Windows,11,compliant,2026-02-13,Microsoft,Surface Laptop 5
ANDROID-1002,user45@company.com,iOS,17,compliant,2026-03-03,Apple,iPad Air
DESKTOP-1003,user45@company.com,macOS,12,compliant,2026-02-28,Apple,MacBook Pro
LAPTOP-1004,user25@company.com,Windows,11,compliant,2026-01-22,Lenovo,ThinkPad T14
IPHONE-1005,user35@company.com,Windows,10,compliant,2026-01-17,Dell,OptiPlex 7090
IPAD-1006,user24@company.com,macOS,14,compliant,2026-01-31,Apple,iPad Air
LAPTOP-1007,user15@company.com,Windows,11,noncompliant,2026-02-21,HP,ProBook 450
MACBOOK-1008,user23@company.com,Windows,10,compliant,2026-02-28,Lenovo,ThinkPad T14
IPAD-1009,user41@company.com,Android,12,compliant,2026-01-30,Xiaomi,Mi 12
MACBOOK-1010,user41@company.com,Windows,11,compliant,2026-03-03,Microsoft,Surface Pro 9
LAPTOP-1011,user21@company.com,Android,13,compliant,2026-03-13,Samsung,Galaxy S22
IPHONE-1012,user26@company.com,Windows,10,noncompliant,2026-02-04,HP,ZBook
DESKTOP-1013,user48@company.com,macOS,14,compliant,2026-03-01,Apple,MacBook Air
MACBOOK-1014,user15@company.com,Android,12,inGracePeriod,2026-03-09,Google,Pixel 6
LAPTOP-1015,user10@company.com,iOS,16,compliant,2026-01-26,Apple,MacBook Pro
IPHONE-1016,user25@company.com,Android,13,compliant,2026-02-16,Xiaomi,Mi 12
ANDROID-1017,user8@company.com,iOS,16,compliant,2026-02-11,Apple,iPad Air
IPHONE-1018,user11@company.com,Windows,10,compliant,2026-01-30,Dell,XPS 13
IPAD-1019,user7@company.com,Android,13,noncompliant,2026-02-26,Xiaomi,Mi 12
DESKTOP-1020,user24@company.com,Android,12,compliant,2026-02-11,Xiaomi,Mi 12
LAPTOP-1021,user8@company.com,iOS,17,noncompliant,2026-01-20,Apple,iPhone 13
IPAD-1022,user6@company.com,Windows,11,compliant,2026-02-14,Dell,Latitude 7420
IPHONE-1023,user36@company.com,Windows,11,compliant,2026-02-12,HP,ZBook
ANDROID-1024,user45@company.com,iOS,16,compliant,2026-02-26,Apple,iPad Pro
IPAD-1025,user29@company.com,macOS,12,compliant,2026-03-03,Apple,iPhone 13
IPAD-1026,user15@company.com,Windows,10,compliant,2026-03-17,Dell,OptiPlex 7090
LAPTOP-1027,user22@company.com,Windows,11,compliant,2026-03-02,HP,EliteBook 840
DESKTOP-1028,user47@company.com,Windows,10,noncompliant,2026-02-09,HP,ZBook
IPHONE-1029,user13@company.com,iOS,16,compliant,2026-02-03,Apple,iPhone 13
IPHONE-1030,user47@company.com,macOS,13,compliant,2026-02-04,Apple,iPhone 13
ANDROID-1031,user22@company.com,Android,14,noncompliant,2026-03-11,Samsung,Galaxy S21
IPHONE-1032,user9@company.com,Windows,11,compliant,2026-02-28,HP,ZBook
IPAD-1033,user7@company.com,macOS,14,compliant,2026-02-11,Apple,iPhone 13
IPHONE-1034,user32@company.com,Windows,11,compliant,2026-01-21,HP,EliteBook 840
LAPTOP-1035,user25@company.com,macOS,14,compliant,2026-01-26,Apple,iPhone 13
ANDROID-1036,user36@company.com,macOS,13,compliant,2026-02-14,Apple,iPad Air
LAPTOP-1037,user38@company.com,Windows,11,compliant,2026-03-14,Lenovo,ThinkPad T14
IPAD-1038,user31@company.com,Android,13,compliant,2026-01-22,Samsung,Galaxy S22
LAPTOP-1039,user12@company.com,iOS,17,compliant,2026-03-13,Apple,iPad Pro
IPAD-1040,user16@company.com,Android,14,compliant,2026-03-15,Google,Pixel 7
IPAD-1041,user37@company.com,iOS,17,compliant,2026-01-17,Apple,iPad Air
MACBOOK-1042,user26@company.com,Windows,11,compliant,2026-02-04,Lenovo,ThinkPad T14
LAPTOP-1043,user30@company.com,Windows,10,compliant,2026-02-09,Lenovo,ThinkPad T14
MACBOOK-1044,user9@company.com,Windows,11,noncompliant,2026-01-20,HP,ZBook
DESKTOP-1045,user29@company.com,Windows,11,noncompliant,2026-01-31,Lenovo,ThinkPad X1
LAPTOP-1046,user9@company.com,Windows,11,compliant,2026-01-20,Lenovo,ThinkCentre
IPAD-1047,user14@company.com,Windows,11,compliant,2026-03-04,Lenovo,ThinkPad X1
MACBOOK-1048,user4@company.com,Android,12,compliant,2026-02-18,Google,Pixel 6
DESKTOP-1049,user41@company.com,Windows,11,inGracePeriod,2026-03-07,Dell,XPS 13
IPAD-1050,user1@company.com,Android,13,compliant,2026-01-16,Xiaomi,Redmi Note 11
MACBOOK-1051,user38@company.com,Android,14,compliant,2026-02-18,Xiaomi,Mi 12
LAPTOP-1052,user23@company.com,Windows,11,compliant,2026-03-02,Lenovo,ThinkPad X1
IPAD-1053,user48@company.com,Android,14,compliant,2026-01-17,Google,Pixel 6
LAPTOP-1054,user12@company.com,Windows,11,compliant,2026-02-24,HP,ProBook 450
DESKTOP-1055,user45@company.com,macOS,12,compliant,2026-01-21,Apple,iPhone 14
IPHONE-1056,user23@company.com,Windows,10,compliant,2026-01-26,HP,EliteBook 840
DESKTOP-1057,user26@company.com,Windows,11,compliant,2026-01-21,Dell,OptiPlex 7090
IPAD-1058,user26@company.com,Windows,10,compliant,2026-01-23,Lenovo,ThinkCentre
MACBOOK-1059,user12@company.com,iOS,16,compliant,2026-03-01,Apple,MacBook Pro
ANDROID-1060,user21@company.com,Windows,11,compliant,2026-02-13,Microsoft,Surface Pro 9
LAPTOP-1061,user46@company.com,Windows,10,compliant,2026-02-12,HP,ProBook 450
LAPTOP-1062,user43@company.com,iOS,17,noncompliant,2026-02-06,Apple,iPhone 13
MACBOOK-1063,user43@company.com,Windows,11,compliant,2026-02-20,Lenovo,ThinkCentre
DESKTOP-1064,user27@company.com,Android,13,compliant,2026-02-21,Xiaomi,Mi 12
